BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
15-16844,,2020-12-23 11:00:00,,CF_NIV_SUIV,,,,
19-132581,,2021-01-18 15:00:00,,CF_NIV_SUIV,,9.0,,
19-70787,,2021-02-01 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100815,,2021-01-29 11:00:00,,CF_NIV_SUIV,,,,
20-103990,,2021-01-18 11:00:00,,CF_NIV_SUIV,,,,
20-110075,2021-02-01 11:00:00,,,CF_NIV_SUIV,,,180.0,
20-111586,,2021-01-28 15:00:00,,CF_NIV_SUIV,,12.0,,
20-115555,2020-12-23 11:00:00,,,CF_NIV_SUIV,,,180.0,
20-116257,2021-01-25 11:00:00,,,CF_NIV_SUIV,,4.0,,
20-116898,,2021-01-14 11:00:00,,CF_NIV_SUIV,,240.0,,
20-117922,,2021-02-03 11:00:00,,CF_NIV_SUIV,,,,
20-117983,,2021-02-08 15:00:00,,CF_NIV_SUIV,,6.0,,
20-119907,,2021-01-05 11:00:00,,CF_NIV_SUIV,,,120.0,
20-121260,,2021-02-05 11:00:00,,CF_NIV_SUIV,,,180.0,
20-121293,2021-01-29 11:00:00,,,CF_NIV_SUIV,,,180.0,
20-121689,,2021-01-22 10:00:00,,CF_NIV_SUIV,,4.0,,
20-121934,,2021-01-12 11:00:00,,CF_NIV_SUIV,,,120.0,
20-121984,,2021-01-29 11:00:00,,CF_NIV_SUIV,,4.0,,
20-122417,,2021-02-10 11:00:00,,CF_NIV_SUIV,,,,
20-124209,,2021-01-19 11:00:00,,CF_NIV_SUIV,,,,
20-124994,,2021-01-05 11:00:00,,CF_NIV_SUIV,,,120.0,
20-125332,,2021-01-19 14:30:00,,CF_NIV_SUIV,,6.0,,
20-125517,,2021-01-12 10:30:00,,CF_NIV_SUIV,,6.0,,
