BOAMP_AVIS_NUM,D_21_01_Annexed4_Infructueux,D_21_02_Annexed4_Raisonstechniques,D_21_03_Annexed4_Raisonsartistiques,D_21_04_Annexed4_Raisonsexclusivites,D_21_05_Annexed4_Proprieteintellectuelle,D_21_06_Annexed4_Horsscope,D_21_07_Annexed4_Explication
20-21304,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""> Le contrat de concession doit légalement être confié de manière monopolistique à Gaz réseau distribution de France (GRDF)</EXPLICATION>"
20-22666,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Article L 111-52 du code de l'énergieArticle L 121-5 du code de l'énergieArticle L 334-3 du code de l'énergieArticle L 2224-31 du code général des collectivités territoriales</EXPLICATION>"
20-24223,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">ENEDIS et EDF bénéficient de droits exclusifs consacrés par la législation nationale (article L.111-52, L.121-5 et L.334-3 du Code de l'énergie).</EXPLICATION>"
20-26609,False,True,False,False,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">La présente attribution concerne le renouvellement d'un contrat de concession d'un service public d'électricité dans lequel les sociétés ENEDIS et EDF sont en situation de monopole.Le contrat signé pour une durée de 30 ans à compter du 1er janvier 2020 est consultable au siège du syndicat.</EXPLICATION>"
