BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
19-116428,,2020-09-23 11:00:00,,CF_NIV_SUIV,,,90.0,
19-148997,,2020-09-28 11:00:00,,CF_NIV_SUIV,,,,
19-15636,,2020-10-09 16:00:00,,CF_NIV_SUIV,,,,
19-169036,,2020-10-29 11:00:00,,CF_NIV_SUIV,,6.0,,
19-174208,,2020-09-15 11:00:00,,CF_NIV_SUIV,,6.0,,
19-181727,,2020-09-18 13:00:00,,CF_NIV_SUIV,,12.0,,
19-185740,,2020-09-22 11:00:00,,CF_NIV_SUIV,,180.0,,
19-22409,,2020-09-18 11:00:00,,CF_NIV_SUIV,,,,
19-94584,,2020-09-25 16:00:00,,CF_NIV_SUIV,,,,
20-100003,2020-09-16 11:00:00,2020-09-17 11:00:00,,CF_NIV_SUIV,,,,
20-100005,,2020-09-11 10:45:00,,CF_NIV_SUIV,,3.0,,
20-100006,,2020-09-14 09:00:00,,CF_NIV_SUIV,,,120.0,
20-100007,,2020-09-22 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100011,,2020-09-22 11:00:00,,CF_NIV_SUIV,,5.0,,
20-100015,,2020-09-30 11:00:00,,CF_NIV_SUIV,,,,
20-100016,,2020-09-02 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100019,,2020-09-11 11:00:00,,CF_NIV_SUIV,,,,
20-100020,,2020-09-04 11:00:00,,CF_NIV_SUIV,,,90.0,
20-100021,,2020-09-22 11:00:00,,CF_NIV_SUIV,,5.0,,
20-100022,,2020-09-08 16:00:00,,CF_NIV_SUIV,,6.0,,
20-100023,,2020-09-30 11:00:00,,CF_NIV_SUIV,,,,
20-100025,,2020-09-25 11:00:00,,CF_NIV_SUIV,,,120.0,
20-100026,,2020-09-21 16:00:00,,CF_NIV_SUIV,,,,
20-100027,,2020-09-14 11:00:00,,CF_NIV_SUIV,,,90.0,
20-100028,,2020-09-07 11:00:00,,CF_NIV_SUIV,,,90.0,
20-100029,,2020-09-14 12:00:00,,CF_NIV_SUIV,,4.0,,
20-100030,,2020-09-11 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100031,,2020-09-15 11:00:00,,CF_NIV_SUIV,,5.0,,
20-100032,,2020-09-07 11:00:00,,CF_NIV_SUIV,,,,
20-100033,,2020-09-18 15:00:00,,CF_NIV_SUIV,,,120.0,
20-100034,,2020-09-16 12:00:00,,CF_NIV_SUIV,,6.0,,
20-100036,,2020-10-20 15:00:00,,CF_NIV_SUIV,,6.0,,
20-100037,,2020-09-10 11:00:00,,CF_NIV_SUIV,,,210.0,
20-100038,,2020-09-07 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100039,,2020-09-07 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100040,,2020-09-07 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100041,,2020-09-07 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100042,,2020-09-07 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100043,,2020-09-10 11:00:00,,CF_NIV_SUIV,,,120.0,
20-100044,,2020-09-22 11:00:00,,CF_NIV_SUIV,,4.0,,
20-100045,,2020-08-31 11:00:00,,CF_NIV_SUIV,,,180.0,
